ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
23,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
41,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
101,97.50,square_kernel,square_kernel,4,3.90,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
89,97.50,square_kernel,square_kernel,4.06,3.96,0.05,0.94,18,"    1,    1,    1","  128,    1,    1"
9,97.50,square_kernel,square_kernel,4.06,3.96,0.05,0.90,18,"    1,    1,    1","  128,    1,    1"
27,97.50,square_kernel,square_kernel,4,3.90,0.05,0.93,18,"    1,    1,    1","  128,    1,    1"
51,97.50,square_kernel,square_kernel,3.97,3.87,0.05,0.93,18,"    1,    1,    1","  128,    1,    1"
5,97.50,square_kernel,square_kernel,4,3.90,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
11,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
43,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.93,18,"    1,    1,    1","  128,    1,    1"
85,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
77,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
107,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
63,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
57,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
91,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.93,18,"    1,    1,    1","  128,    1,    1"
17,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
109,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
55,97.50,square_kernel,square_kernel,4.06,3.96,0.05,0.94,18,"    1,    1,    1","  128,    1,    1"
37,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
45,97.50,square_kernel,square_kernel,4,3.90,0.05,0.95,18,"    1,    1,    1","  128,    1,    1"
47,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
33,97.50,square_kernel,square_kernel,4,3.90,0.05,0.96,18,"    1,    1,    1","  128,    1,    1"
93,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
49,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
59,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.93,18,"    1,    1,    1","  128,    1,    1"
65,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
4,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
69,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
103,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
105,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.94,18,"    1,    1,    1","  128,    1,    1"
3,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
75,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
15,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
53,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
87,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
81,97.50,square_kernel,square_kernel,4.10,3.99,0.05,0.90,18,"    1,    1,    1","  128,    1,    1"
2,97.50,square_kernel,square_kernel,4.06,3.96,0.05,1.18,18,"    1,    1,    1","  128,    1,    1"
